,Sourah_number,Verse_number,Sourah_Ar,Sourah_En,Verse_diac,Verse,Sahih_International,Pickthall,Yusuf_Ali (YA),Shakir,Muhammad_Sarwar (MS),Mohsin_Khan (MK),Arberry,Label
36,24,50,سورة النور, l-nūr ,أَفِي قُلُوبِهِم مَّرَضٌ أَمِ ٱرۡتَابُوٓاْ أَمۡ يَخَافُونَ أَن يَحِيفَ ٱللَّهُ عَلَيۡهِمۡ وَرَسُولُهُۥۚ بَلۡ أُوْلَٰٓئِكَ هُمُ ٱلظَّٰلِمُونَ,افي قلوبهم مرض ام ارتابوا ام يخافون ان يحيف الله عليهم ورسوله بل اولٰئك هم الظٰلمون,"Is there disease in their hearts? Or have they doubted? Or do they fear that Allah will be unjust to them, or His Messenger? Rather, it is they who are the wrongdoers.","Is there in their hearts a disease, or have they doubts, or fear they lest Allah and His messenger should wrong them in judgment? Nay, but such are evil-doers.","Is it that there is a disease in their hearts? or do they doubt, or are they in fear, that Allah and His Messenger will deal unjustly with them? Nay, it is they themselves who do wrong.","Is there in their hearts a disease, or are they in doubt, or do they fear that Allah and His Messenger will act wrongfully towards them? Nay! they themselves are the unjust.","Are their hearts sick? Do they have doubts or are they afraid that God and His Messenger may do injustice to them? In fact, they, themselves, are unjust.","Is there a disease in their hearts? Or do they doubt or fear lest Allah and His Messenger (SAW) should wrong them in judgement. Nay, it is they themselves who are the Zalimun (polytheists, hypocrites and wrong-doers, etc.).","What, is there sickness in their hearts, or are they in doubt, or do they fear that God may be unjust towards them and His Messenger? Nay, but those -- they are the evildoers.",anger
37,25,70,سورة الفرقان, l-fur'qān ,إِلَّا مَن تَابَ وَءَامَنَ وَعَمِلَ عَمَلٗا صَٰلِحٗا فَأُوْلَٰٓئِكَ يُبَدِّلُ ٱللَّهُ سَيِّـَٔاتِهِمۡ حَسَنَٰتٖۗ وَكَانَ ٱللَّهُ غَفُورٗا رَّحِيمٗا,الا من تاب وءامن وعمل عملا صٰلحا فاولٰئك يبدل الله سياتهم حسنٰت وكان الله غفورا رحيما,"Except for those who repent, believe and do righteous work. For them Allah will replace their evil deeds with good. And ever is Allah Forgiving and Merciful.","Save him who repenteth and believeth and doth righteous work; as for such, Allah will change their evil deeds to good deeds. Allah is ever Forgiving, Merciful.","Unless he repents, believes, and works righteous deeds, for Allah will change the evil of such persons into good, and Allah is Oft-Forgiving, Most Merciful,","Except him who repents and believes and does a good deed; so these are they of whom Allah changes the evil deeds to good ones; and Allah is Forgiving, Merciful.",But only those who repent and believe and act righteously will have their sins replaced by virtue; God is All-forgiving and All-merciful.,"Except those who repent and believe (in Islamic Monotheism), and do righteous deeds, for those, Allah will change their sins into good deeds, and Allah is Oft-Forgiving, Most Merciful.","save him who repents, and believes, and does righteous work -- those, God will change their evil deeds into good deeds, for God is ever All-forgiving, All-compassionate;",joy
38,76,23,سورة الانسان, l-insān ,إِنَّا نَحۡنُ نَزَّلۡنَا عَلَيۡكَ ٱلۡقُرۡءَانَ تَنزِيلٗا,انا نحن نزلنا عليك القرءان تنزيلا,"Indeed, it is We who have sent down to you, [O Muhammad], the Qur'an progressively.","Lo! We, even We, have revealed unto thee the Qur'an, a revelation;",It is We Who have sent down the Qur'an to thee by stages.,Surely We Ourselves have revealed the Quran to you revealing (it) in portions.,"(Muhammad), We have revealed the Quran to you in gradual steps.",Verily! It is We Who have sent down the Quran to you (O Muhammad SAW) by stages.,"Surely We have sent down the Koran on thee, a sending down;",joy
39,29,65,سورة العنكبوت, l-ʿankabūt ,فَإِذَا رَكِبُواْ فِي ٱلۡفُلۡكِ دَعَوُاْ ٱللَّهَ مُخۡلِصِينَ لَهُ ٱلدِّينَ فَلَمَّا نَجَّىٰهُمۡ إِلَى ٱلۡبَرِّ إِذَا هُمۡ يُشۡرِكُونَ,فاذا ركبوا في الفلك دعوا الله مخلصين له الدين فلما نجىٰهم الى البر اذا هم يشركون,"And when they board a ship, they supplicate Allah , sincere to Him in religion. But when He delivers them to the land, at once they associate others with Him","And when they mount upon the ships they pray to Allah, making their faith pure for Him only, but when He bringeth them safe to land, behold! they ascribe partners (unto Him),","Now, if they embark on a boat, they call on Allah, making their devotion sincerely (and exclusively) to Him; but when He has delivered them safely to (dry) land, behold, they give a share (of their worship to others)!-","So when they ride in the ships they call upon Allah, being sincerely obedient to Him, but when He brings them safe to the land, lo! they associate others (with Him);","When they sail in a boat, they sincerely pray to God with pure faith. But when We bring them safely to land, they start considering things equal to God.","And when they embark on a ship, they invoke Allah, making their Faith pure for Him only, but when He brings them safely to land, behold, they give a share of their worship to others.","When they embark in the ships, they call on God, making their religion sincerely His; but when He has delivered them to the land, they associate others with Him,",anger
40,68,50,سورة القلم, l-qalam ,فَٱجۡتَبَٰهُ رَبُّهُۥ فَجَعَلَهُۥ مِنَ ٱلصَّٰلِحِينَ,فاجتبٰه ربه فجعله من الصٰلحين,And his Lord chose him and made him of the righteous.,But his Lord chose him and placed him among the righteous.,Thus did his Lord choose him and make him of the Company of the Righteous.,"Then his Lord chose him, and He made him of the good.",But his Lord chose him as His Prophet and made him one of the righteous ones.,But his Lord chose him and made him of the righteous.,"But his Lord had chosen him, and He placed him among the righteous.",joy
41,7,52,سورة الاعراف, l-aʿrāf ,وَلَقَدۡ جِئۡنَٰهُم بِكِتَٰبٖ فَصَّلۡنَٰهُ عَلَىٰ عِلۡمٍ هُدٗى وَرَحۡمَةٗ لِّقَوۡمٖ يُؤۡمِنُونَ,ولقد جئنٰهم بكتٰب فصلنٰه علىٰ علم هدى ورحمة لقوم يؤمنون,And We had certainly brought them a Book which We detailed by knowledge - as guidance and mercy to a people who believe.,"Verily We have brought them a Scripture which We expounded with knowledge, a guidance and a mercy for a people who believe.","For We had certainly sent unto them a Book, based on knowledge, which We explained in detail,- a guide and a mercy to all who believe.","And certainly We have brought them a Book which We have made clear with knowledge, a guidance and a mercy for a people who believe.",We have revealed the Book of guidance and mercy to the believers and We know all of its details.,"Certainly, We have brought to them a Book (the Quran) which We have explained in detail with knowledge, - a guidance and a mercy to a people who believe.","And We have brought to them a Book that We have well distinguished, resting on knowledge, a guidance and a mercy unto a people that believe.",joy
42,58,21,سورة المجادلة, l-mujādilah ,كَتَبَ ٱللَّهُ لَأَغۡلِبَنَّ أَنَا۠ وَرُسُلِيٓۚ إِنَّ ٱللَّهَ قَوِيٌّ عَزِيزٞ,كتب الله لاغلبن انا ورسلي ان الله قوي عزيز,"Allah has written, ""I will surely overcome, I and My messengers."" Indeed, Allah is Powerful and Exalted in Might.","Allah hath decreed: Lo! I verily shall conquer, I and My messengers. Lo! Allah is Strong, Almighty.","Allah has decreed: ""It is I and My messengers who must prevail"": For Allah is One full of strength, able to enforce His Will.","Allah has written down: I will most certainly prevail, I and My messengers; surely Allah is Strong, Mighty.","God has decreed, ""I and My Messenger shall certainly triumph."" God is All-powerful and Majestic.","Allah has decreed: ""Verily! It is I and My Messengers who shall be the victorious."" Verily, Allah is All-Powerful, All-Mighty.","God has written, 'I shall assuredly be the victor, I and My Messengers.' Surely God is All-strong, All-mighty.",joy
43,55,72,سورة الرحمٰن, l-raḥmān ,حُورٞ مَّقۡصُورَٰتٞ فِي ٱلۡخِيَامِ,حور مقصورٰت في الخيام,Fair ones reserved in pavilions -,"Fair ones, close-guarded in pavilions -","Companions restrained (as to their glances), in (goodly) pavilions;-",Pure ones confined to the pavilions.,"- with big, black and white beautiful eyes, dwelling in tents.","Houris (beautiful, fair females) restrained in pavilions;","houris, cloistered in cool pavilions --",joy
44,81,24,سورة التكوير, l-takwīr ,وَمَا هُوَ عَلَى ٱلۡغَيۡبِ بِضَنِينٖ,وما هو على الغيب بضنين,And Muhammad is not a withholder of [knowledge of] the unseen.,And he is not avid of the Unseen.,Neither doth he withhold grudgingly a knowledge of the Unseen.,Nor of the unseen is he a tenacious concealer.,He (Muhammad) is not accused of lying about the unseen.,And he (Muhammad (Peace be upon him)) withholds not a knowledge of the unseen.,he is not niggardly of the Unseen.,sadness
45,107,1,سورة الماعون, l-māʿūn ,أَرَءَيۡتَ ٱلَّذِي يُكَذِّبُ بِٱلدِّينِ,ارءيت الذي يكذب بالدين,Have you seen the one who denies the Recompense?,Hast thou observed him who belieth religion?,Seest thou one who denies the Judgment (to come)?,Have you considered him who calls the judgment a lie?,Have you seen the one who calls the religion a lie?,Have you seen him who denies the Recompense?,Hast thou seen him who cries lies to the Doom?,anger
46,10,76,سورة يونس, yūnus ,فَلَمَّا جَآءَهُمُ ٱلۡحَقُّ مِنۡ عِندِنَا قَالُوٓاْ إِنَّ هَٰذَا لَسِحۡرٞ مُّبِينٞ,فلما جاءهم الحق من عندنا قالوا ان هٰذا لسحر مبين,"So when there came to them the truth from Us, they said, ""Indeed, this is obvious magic.""","And when the Truth from Our presence came unto them, they said: Lo! this is mere magic.","When the Truth did come to them from Us, they said: ""This is indeed evident sorcery!""",So when the truth came to them from Us they said: This is most surely clear enchantment!,"When the Truth from Us came, they called it simply magic.","So when came to them the truth from Us, they said: ""This is indeed clear magic.""","So, when the truth came to them from Us, they said, 'Surely this is a manifest sorcery.'",fear
